Autor Citado,Descripción,Categoría
YAO2009,"YAO2009 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Tartarini2022,"Tartarini2022 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Calixto2021,"Calixto2021 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Becerra2016,"Becerra2016 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
ASHRAE,"ASHRAE establece normas rigurosas para el confort térmico, incluyendo parámetros como temperatura, humedad y velocidad del aire, que son esenciales para el diseño de espacios habitables.",Estándares
tbl,"tbl aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Sim2016,"Sim2016 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Choi2017,"Choi2017 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Rincon2020,"Rincon2020 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Rincon2019,"Rincon2019 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Fanger,"Fanger desarrolló un modelo de confort térmico basado en el balance térmico del cuerpo humano, considerando factores como la tasa metabólica, el aislamiento de la ropa, la temperatura ambiente, y la humedad.",Modelos de Confort
LópezPérez2019,"LópezPérez2019 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Zepeda2022,"Zepeda2022 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
ISO,"ISO proporciona estándares internacionales para evaluar el confort térmico, incluyendo métodos específicos para medir la percepción térmica y definir rangos aceptables de condiciones ambientales.",Estándares
Omidvar2023,"Omidvar2023 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Oropeza2017,"Oropeza2017 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Feng2023,"Feng2023 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Hasan2016,"Hasan2016 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Nazarian2021,"Nazarian2021 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Garces2021,"Garces2021 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Sim2018,"Sim2018 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Cetz2018,"Cetz2018 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Malakhatka2021,"Malakhatka2021 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Chaudhuri2018,"Chaudhuri2018 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Liu2019,"Liu2019 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Wang2022,"Wang2022 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Cho2023,"Cho2023 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Wang2020,"Wang2020 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
MayTzuc2023,"MayTzuc2023 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Ghahramani2018,"Ghahramani2018 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Bogatu2023,"Bogatu2023 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
